train_acc,train_loss,val_acc,val_loss
0.02578947368421053,4.4430814,0.0396,4.2950726
0.04968421052631579,4.142481,0.0564,4.094168
0.06513684210526317,4.0068045,0.068,3.9877174
0.07924210526315789,3.912236,0.0908,3.922966
0.09957894736842107,3.8206246,0.10600000000000001,3.7736502
0.11311578947368423,3.739546,0.11639999999999999,3.7166789
0.12345263157894738,3.6637049,0.14200000000000002,3.537619
0.1383578947368421,3.5797915,0.1324,3.5232537
0.15254736842105265,3.4958718,0.1552,3.4688404
0.1648421052631579,3.4192402,0.17,3.3827155
0.1768,3.351908,0.18360000000000004,3.300148
0.19385263157894736,3.278715,0.19760000000000005,3.256047
0.20357894736842105,3.2129629,0.19840000000000002,3.2923398
0.21818947368421054,3.1408546,0.198,3.2185142
0.22938947368421053,3.0779724,0.212,3.1185327
0.23970526315789473,3.009976,0.23759999999999998,3.0243237
0.2513684210526316,2.9496474,0.23720000000000002,3.0116966
0.2657263157894737,2.895407,0.2628,2.8603864
0.2750526315789473,2.8387415,0.24080000000000001,2.9804974
0.2854526315789473,2.7860851,0.28559999999999997,2.7996082
0.2941263157894736,2.7382529,0.282,2.788466
0.30303157894736843,2.694259,0.2912,2.7913651
0.31237894736842103,2.6522632,0.2756,2.8546221
0.31966315789473687,2.613472,0.3072,2.6839533
0.32595789473684206,2.5769727,0.3044,2.6714735
0.3349473684210526,2.542267,0.31279999999999997,2.61587
0.33915789473684216,2.509305,0.31120000000000003,2.597883
0.34713684210526313,2.4745326,0.33480000000000004,2.5496743
0.35368421052631577,2.4441724,0.33,2.5863626
0.3630736842105263,2.412024,0.344,2.518556
0.36783157894736834,2.3851743,0.3504,2.534079
0.37416842105263154,2.3580859,0.33879999999999993,2.5095687
0.3769894736842106,2.330906,0.33599999999999997,2.489416
0.3840631578947369,2.3160665,0.34,2.459115
0.3905894736842105,2.27854,0.35440000000000005,2.4225411
0.3946736842105264,2.2546682,0.35400000000000004,2.4166636
0.39842105263157895,2.239828,0.37120000000000003,2.3565464
0.4041263157894737,2.2121444,0.37200000000000005,2.3734324
0.41037894736842107,2.1925273,0.37920000000000004,2.3248374
0.4129894736842106,2.173525,0.3728000000000001,2.3514462
0.4171157894736843,2.1523838,0.366,2.4420385
0.42612631578947374,2.1220255,0.3732,2.2940688
0.42997894736842107,2.1040678,0.38199999999999995,2.2674298
0.4305263157894737,2.0933208,0.38719999999999993,2.310701
0.4360842105263158,2.0674407,0.39280000000000004,2.2775145
0.4387789473684211,2.0533438,0.382,2.3657355
0.4419578947368421,2.0389435,0.41,2.232746
0.44574736842105267,2.0134,0.41120000000000007,2.1965485
0.4516210526315789,2.0052493,0.40559999999999996,2.1886182
0.45494736842105266,1.9916915,0.4188,2.1551976
0.455178947368421,1.9806534,0.4068,2.178767
0.4632421052631579,1.9552007,0.4152,2.1615353
0.4637894736842105,1.9441599,0.4195999999999999,2.1667721
0.4675578947368421,1.9266328,0.4144,2.187299
0.47402105263157895,1.9070274,0.39199999999999996,2.3238196
0.4729052631578948,1.9036125,0.43119999999999997,2.1197872
0.4768421052631579,1.8844119,0.4192,2.110934
0.4806526315789474,1.8766942,0.4159999999999999,2.1594505
0.4876631578947368,1.8531967,0.43,2.0935183
0.4898736842105263,1.8354048,0.4271999999999999,2.0926778
0.49197894736842107,1.823255,0.4288,2.100309
0.49307368421052633,1.8177316,0.43720000000000003,2.0742536
0.4941473684210526,1.8082167,0.4464,2.1041143
0.4994947368421053,1.7965704,0.43200000000000005,2.09371
0.5021052631578947,1.7821996,0.43559999999999993,2.0900128
0.506421052631579,1.7652501,0.43320000000000003,2.0856915
0.505978947368421,1.7633822,0.4436,2.048635
0.5128631578947369,1.7459182,0.4528000000000001,2.056546
0.5117263157894737,1.738213,0.44199999999999995,2.0688267
0.5165894736842106,1.7235652,0.4428,2.043926
0.5167157894736842,1.7187023,0.4427999999999999,2.0506618
0.5203578947368421,1.705962,0.44999999999999996,2.0498192
0.5197684210526317,1.7065799,0.4463999999999999,2.0400217
0.5259368421052631,1.6886505,0.4404,2.0756452
0.5258947368421053,1.677729,0.4635999999999999,2.0202596
0.5278105263157895,1.6736652,0.45199999999999996,2.0350928
0.5287368421052632,1.666299,0.45,2.0241616
0.5302315789473685,1.6587911,0.44920000000000004,2.0273979
0.534778947368421,1.6503122,0.4608,2.0124447
0.5356210526315789,1.6406263,0.458,2.0187085
0.5346105263157895,1.6450658,0.45360000000000006,2.0392046
0.5350947368421054,1.6360501,0.45439999999999997,2.0097833
0.5406736842105264,1.6279922,0.4536,2.007748
0.5414736842105263,1.6230595,0.4572,2.0195718
0.5423157894736843,1.6141753,0.4508,2.005843
0.5429684210526317,1.6087477,0.46120000000000005,2.0076663
0.5449473684210526,1.614205,0.4628,1.9951898
0.5451157894736842,1.606317,0.4572,2.004663
0.5464,1.5987964,0.45880000000000004,2.006229
0.5499157894736842,1.5911739,0.4648,2.0049932
0.5477684210526316,1.6005654,0.46320000000000006,2.0022988
0.5478526315789474,1.5884355,0.46199999999999997,1.996587
0.5512000000000001,1.5868732,0.4632,2.0071125
0.5484,1.5905024,0.4623999999999999,2.011623
0.550021052631579,1.5838736,0.462,2.0093186
0.5525684210526316,1.5788238,0.46480000000000005,2.0006542
0.5474315789473684,1.5859561,0.4604,1.9989579
0.5532210526315791,1.5749964,0.46120000000000005,2.0103178
0.5528000000000001,1.5735033,0.4644,2.0150027
0.5522736842105264,1.579898,0.46759999999999996,2.0031533
