train_acc,train_loss,val_acc,val_loss
0.042821052631578954,4.273017,0.07840000000000001,3.9882417
0.08513684210526316,3.9050674,0.09799999999999999,3.798394
0.12067368421052634,3.6578705,0.10959999999999999,3.6956112
0.16162105263157892,3.4187222,0.1772,3.3566842
0.19987368421052634,3.2018678,0.20559999999999998,3.1908164
0.24370526315789476,2.9849796,0.2564,2.8972278
0.2791578947368421,2.793642,0.2884,2.7322004
0.31056842105263155,2.6267655,0.2992,2.7145753
0.33873684210526317,2.4892757,0.33039999999999997,2.5594773
0.3643789473684211,2.3719192,0.36,2.3910782
0.38568421052631585,2.2645981,0.37520000000000003,2.330169
0.40412631578947367,2.1822488,0.3968,2.3013694
0.42597894736842107,2.0977979,0.40399999999999997,2.1488507
0.44166315789473687,2.0245705,0.408,2.1897898
0.4557473684210527,1.9632422,0.4164000000000001,2.2162807
0.4711368421052632,1.9062531,0.43439999999999995,2.0455124
0.4824421052631579,1.8560462,0.4468,2.0125856
0.4956421052631579,1.8087811,0.444,2.026296
0.508421052631579,1.7525508,0.42199999999999993,2.1162295
0.5156210526315789,1.7204252,0.4776,1.8911935
0.5224421052631579,1.682682,0.482,1.8729527
0.5343789473684211,1.6337541,0.45959999999999995,1.9972565
0.5445894736842105,1.6044444,0.49119999999999997,1.8780434
0.5510947368421052,1.5736367,0.49440000000000006,1.8634301
0.5586105263157896,1.5419586,0.49560000000000004,1.8438526
0.5667789473684212,1.5113851,0.4972,1.8406018
0.5713263157894737,1.4851599,0.5228,1.7723095
0.5795157894736842,1.4566985,0.5087999999999999,1.7845384
0.5884631578947368,1.4297479,0.524,1.7622157
0.5933684210526317,1.402315,0.5207999999999999,1.7856957
0.6019578947368421,1.3794962,0.536,1.713108
0.6054736842105264,1.3579773,0.5436,1.6739779
0.6099578947368421,1.3381172,0.5316000000000001,1.6832209
0.6197052631578948,1.3109932,0.5196000000000001,1.7456383
0.6236,1.287151,0.5304,1.7122588
0.6290526315789473,1.2709832,0.5307999999999999,1.7182232
0.6313052631578947,1.2541106,0.5372,1.8289336
0.6354105263157895,1.2335917,0.544,1.6911544
0.642378947368421,1.2151804,0.5276,1.7344029
0.6481894736842105,1.198334,0.5544,1.6679358
0.6523578947368421,1.1723483,0.5432000000000001,1.7338011
0.6539368421052631,1.1641259,0.5539999999999999,1.673336
0.662421052631579,1.1412277,0.5524,1.6536037
0.6669894736842105,1.1212189,0.5656,1.5957035
0.6690526315789472,1.1132817,0.5640000000000001,1.6180452
0.6741263157894738,1.0927408,0.5568,1.6448987
0.678757894736842,1.0747489,0.5608,1.6417084
0.6848421052631579,1.0539266,0.578,1.6091534
0.6858947368421051,1.0436269,0.5684,1.6572946
0.6886736842105263,1.0331969,0.5732,1.6303432
0.6927789473684212,1.0220138,0.568,1.6334176
0.693621052631579,1.0061891,0.5756,1.609607
0.7015368421052632,0.9826803,0.5696000000000001,1.6681488
0.7021052631578948,0.97884995,0.5756,1.6156911
0.7130736842105264,0.95685005,0.578,1.5952404
0.7099368421052631,0.95342916,0.5724,1.6100361
0.7149473684210527,0.93533397,0.5760000000000001,1.625422
0.7209894736842106,0.9231923,0.5696,1.6216671
0.7229473684210526,0.9120129,0.5776,1.6594281
0.7281473684210527,0.89388186,0.5783999999999999,1.6206033
0.7283999999999999,0.88500506,0.5828,1.5942681
0.7333473684210525,0.8765449,0.582,1.588826
0.7344631578947368,0.8657127,0.5760000000000001,1.6354772
0.7347157894736841,0.85699695,0.5868,1.6179032
0.7413684210526316,0.8432373,0.5764,1.6148509
0.7447157894736842,0.8327173,0.5972,1.600643
0.7489894736842106,0.8219141,0.5812,1.6317788
0.7496421052631579,0.8123806,0.574,1.6224391
0.7546526315789475,0.7935923,0.5916,1.6153035
0.7556631578947369,0.78854185,0.5796,1.6696888
0.7588631578947369,0.77822894,0.5932000000000001,1.6190901
0.7601894736842106,0.77157885,0.5776,1.6261252
0.7636210526315789,0.76287705,0.5868,1.6117082
0.7677263157894736,0.75312346,0.5840000000000001,1.6310279
0.771157894736842,0.74579084,0.5840000000000001,1.626975
0.7694736842105263,0.7415913,0.5888,1.6342072
0.7698736842105263,0.7359876,0.5836,1.6392468
0.7775578947368422,0.7224996,0.586,1.626049
0.7786105263157895,0.712744,0.5856,1.616156
0.7798947368421052,0.70964575,0.5844,1.6644179
0.7808000000000002,0.7104977,0.5892000000000001,1.6363438
0.7829894736842106,0.6978751,0.5836,1.6431072
0.781957894736842,0.69621634,0.5828,1.6319253
0.7873894736842105,0.6803986,0.5936,1.6457586
0.7887578947368422,0.68487036,0.5832,1.6456851
0.7888631578947369,0.67893255,0.5932,1.6441792
0.789578947368421,0.67652214,0.5896,1.6540163
0.791136842105263,0.671551,0.5892000000000001,1.6577169
0.7938105263157895,0.6668155,0.5963999999999999,1.6541879
0.7946526315789475,0.6640116,0.5876,1.6551731
0.7952,0.6600187,0.5928,1.6566528
0.7954947368421053,0.6590159,0.5883999999999999,1.6522515
0.7943578947368419,0.6599392,0.5851999999999999,1.6676123
0.7986947368421051,0.64958566,0.5936,1.6477487
0.7968631578947368,0.65082943,0.5928,1.657306
0.8007157894736843,0.6428959,0.5932000000000001,1.6527853
0.7998105263157895,0.6486141,0.594,1.6601176
0.7990736842105263,0.6475154,0.5896,1.6537622
0.7986105263157895,0.64752024,0.5904,1.6599387
0.7985263157894736,0.6441256,0.5943999999999999,1.6523032
